product_id,product_name,category_id,price,stock_quantity,description,created_at
26,Textbook Bring,4,443.87,370,Respond want already cut. Though firm financial huge spring.,2025-05-31
27,Cookbook Language,4,292.9,721,Own state nation fly bag produce. Knowledge response coach know language.,2024-08-21
28,Biography Identify,4,44.08,677,Painting quickly we. Know baby case happen fire everything. Ago control military trial.,2025-08-31
29,Mystery Front,4,121.67,296,Nearly face feel church. Soldier meeting building cut. Door management guess occur.,2024-12-08
30,Science Fiction Whether,4,492.76,875,Million fight class various. Generation wait thus suffer economy.,2024-04-25
31,History Speak,4,124.07,103,You level these market bed hotel lead. Democrat good anything manager think.,2024-08-29
32,Poetry Study,4,196.26,464,Occur red course. Finish charge real improve simple turn.,2025-05-26
33,Bicycle Responsibility,5,321.49,373,Beyond form line. Accept nearly upon imagine.,2024-04-06
34,Tent Write,5,89.7,363,Across nothing blue. Expect writer myself management voice surface.,2024-01-20
35,Running Shoes Institution,5,112.66,273,Word local very according. Dog send west few reveal activity.,2025-05-12
36,Yoga Mat Often,5,353.89,699,Year him thank trade heart radio. Card team budget year hotel camera without. Series without leg.,2024-10-25
37,Dumbbells Piece,5,327.54,623,"Scientist I doctor describe tell.
Mean eye staff rule. Officer significant stand down then worry.",2024-11-15
38,Basketball Effect,5,321.14,546,Tax certain leg arm include. Newspaper care drug data position two.,2025-06-21
39,Tennis Racket Measure,5,367.27,167,Shake major rich science leave. College result major true my politics. Model stuff avoid stand.,2025-05-16
40,Hiking Boots City,5,236.51,276,Media health pay project pattern.,2024-09-24
41,Board Game Machine,6,494.87,655,Wrong difficult range summer president. Behavior here need. Pm reflect bar suddenly.,2024-07-03
42,Action Figure Commercial,6,347.2,224,Note support quality music himself. So ready bad seat. Approach join stuff future shoulder western.,2025-06-10
43,Puzzle Improve,6,345.46,863,Blood accept final growth especially car. Issue news mention billion. Government behavior our foot.,2025-05-26
44,LEGO Set Process,6,386.47,57,Education child institution help last. Look husband media turn reality myself so growth.,2024-03-10
45,Doll Hair,6,122.23,32,Bit indeed which break wait center find.,2024-03-28
46,Remote Car Old,6,404.47,410,Nice when discussion if continue policy. How scene third last involve above.,2025-02-19
47,Building Blocks Important,6,141.19,216,Cold eye cost success people tend weight. Carry spring white measure manager range indeed.,2025-06-07
48,Card Game Themselves,6,457.44,580,Themselves allow enjoy television beautiful. Simply down specific onto.,2024-06-16
49,Shampoo Trial,7,439.42,322,Economic represent stock seven. Majority officer environmental increase later plant.,2024-11-04
50,Moisturizer Prove,7,114.19,511,Upon citizen lead yeah.,2024-05-13
51,Toothbrush Laugh,7,203.86,936,Ability live car difficult. Act receive stage write institution car.,2025-04-22
52,Vitamins Character,7,325.0,146,Republican short interest I policy Mrs check base. Memory data space movie.,2024-08-09
53,Perfume Necessary,7,139.79,252,Customer nor fight performance less option.,2025-09-03
54,Makeup Kit Sing,7,375.04,551,Day work information which. Republican behavior TV today.,2024-04-19
55,Hair Dryer Century,7,138.74,598,Star community weight take new. Economic left sound cause activity store work.,2025-08-03
56,Face Mask Career,7,219.93,597,Business walk anything under item right. Ahead raise common Democrat cost evidence third.,2024-04-16
57,Car Battery Question,8,205.71,224,Piece soon some writer site. Look sit general not focus establish. Five despite time.,2025-10-26
58,Tire Since,8,498.69,141,Offer work home very yard. Compare or south recently.,2024-07-22
59,Oil Filter Artist,8,259.67,93,Only true similar suffer.,2025-02-13
60,Brake Pad Teacher,8,380.33,881,Fill read camera rock we we. Surface side nothing consider fish speak.,2024-03-22
61,Car Cover Usually,8,63.73,642,Benefit hotel near make approach. Into far product.,2025-08-02
62,Floor Mat Number,8,88.39,696,Call interest write itself young. Challenge organization floor road southern beautiful news need.,2024-02-04
63,Air Freshener Order,8,216.86,65,Test they there enough pressure. Participant also every century participant really although.,2024-10-02
64,Jump Starter Point,8,198.54,610,Kid tree imagine machine might. Start middle city find medical career.,2025-09-20
65,Coffee Matter,9,498.1,541,Education source figure whom poor.,2024-06-16
66,Tea Every,9,133.19,566,Change she tonight south sort. Identify floor cause agent market fast trade identify.,2025-04-18
67,Chocolate Her,9,431.78,11,Perhaps order answer blue structure answer break. Herself natural listen check receive piece.,2024-12-04
68,Snacks Decide,9,343.34,117,Write fast less between company always fact. International break surface three act catch.,2025-05-02
69,Juice Today,9,344.04,549,Turn both in animal energy fire relate. Should office north within prove full mission.,2025-08-09
70,Cereal Easy,9,377.93,787,"Know of because material firm wonder seat. Bill include news.
Social white point three.",2024-08-30
71,Pasta Science,9,324.07,114,To manage state. Blood particularly could us hotel lead.,2024-10-15
72,Sauce This,9,153.82,161,Decide research rather TV car. Mean reason follow break.,2025-07-15
73,Notebook Find,10,232.32,976,Allow sport bill test science ten score. Home memory someone receive realize another high.,2024-02-14
74,Pen Set Huge,10,363.83,736,Evidence enough claim suffer accept letter.,2024-04-04
75,Stapler Near,10,139.06,512,City myself idea glass third professional former. Despite sell most you statement.,2025-03-10
76,File Folder Either,10,383.36,519,High someone box either rich agency.,2024-04-27
77,Desk Organizer Treatment,10,457.19,891,Imagine later identify first hope. Movement political peace series.,2023-11-22
78,Calculator On,10,316.4,861,But above others Mr. Fight security tough gas. Town surface central contain pattern education.,2024-07-27
79,Printer Paper Heavy,10,323.09,623,Beyond people too fish late. Process really charge note space when collection finish.,2025-08-16
80,Binder Challenge,10,107.47,382,Hard amount deal traditional guess. Truth thing always possible billion why plant.,2024-08-14
